station,lat,lon,dyear,dtemp
726170-14742,44.468,-73.15,38,0.8127777777777823
727976-24217,48.794,-122.537,38,0.40744444444445094
724835-23206,38.567,-121.3,19,1.1968199233716632
722246-03844,30.65,-86.517,27,0.6838982009901429
726930-24221,44.128,-123.221,13,-0.27877777777777624
724838-99999,39.1,-121.567,32,0.04777777777776748
727440-14858,47.169,-88.489,13,-0.12311111111111472
745090-23244,37.406,-122.048,7,-0.13785440613025912
999999-24134,43.583,-119.05,2,-0.056444444444423425
723816-03159,34.741,-118.212,12,0.5023703703703433
723095-93719,35.068,-77.048,13,0.47277777777779306
724675-23063,39.65,-106.917,9,-0.16172413793100304
723087-93735,37.133,-76.6,20,1.2561633806639918
724230-93821,38.181,-85.739,13,0.45811111111110847
726228-99999,44.383,-74.2,1,0.2454444444444448
701780-26529,65.175,-152.107,43,1.3544333333333185
722268-93843,31.317,-85.45,1,-0.003888888888894826
727347-14841,45.564,-84.793,13,0.1204206349206487
723260-13891,35.818,-83.986,38,0.9675000000000153
725910-24216,40.152,-122.254,12,-0.12611111111111484
724016-93736,38.139,-78.453,9,0.40222222222222115
703980-25308,55.039,-131.579,44,2.130666666666656
722487-13935,31.393,-92.296,44,-0.025046798029563888
722530-12921,29.544,-98.484,39,2.055888888888859
724880-23185,39.484,-119.771,43,3.869537888463185
723625-93057,35.166,-107.899,3,0.4895766283524807
727845-24163,46.267,-119.117,9,-0.12985632183908535
723860-23169,36.072,-115.163,12,0.36372222222220785
722286-93806,33.212,-87.616,9,0.5949623931624046
994080-99999,57.267,-133.633,1,0.014999999999986358
725690-24089,42.898,-106.474,46,2.2572835249041674
723810-23114,34.9,-117.867,38,2.0416340996168856
724296-13841,39.42,-83.822,13,-0.39261111111112257
702915-99999,62.7,-143.983,1,0.22264285714287269
723677-23054,35.654,-105.142,39,1.5015651340996072
994280-99999,44.617,-124.067,1,-0.031999999999996476
723927-93110,34.201,-119.207,38,-1.1180555555555571
723540-13919,35.417,-97.383,38,0.16716666666665958
723105-93833,33.921,-80.801,9,0.4096666666666522
723100-13883,33.942,-81.118,44,0.25688888888889494
722350-03940,32.321,-90.078,43,0.16654406130263055
724505-03923,37.617,-97.267,27,0.7392222222221818
723405-03930,34.917,-92.15,25,1.4337222222222152
701040-99999,68.883,-166.133,22,-1.1797024196535588
724250-03860,38.365,-82.555,13,0.3699444444444424
743920-14611,43.9,-69.933,28,1.9865555555555545
726487-99999,45.127,-87.638,2,-0.004333333333349287
722436-12906,29.617,-95.167,39,1.088388888888872
725020-14734,40.683,-74.169,13,0.45388888888885504
724698-24015,40.167,-103.217,9,0.10302380952383317
724555-99999,39.133,-96.667,2,-0.0912222222222141
726980-24229,45.596,-122.609,50,1.733166666666662
722400-03937,30.125,-93.228,44,0.9063888888888272
700637-27406,70.192,-148.477,8,0.11160153256707162
725565-99999,41.45,-97.333,3,-0.29433333333334133
742060-24207,47.15,-122.483,40,-0.4827654320987733
726830-94185,43.595,-118.956,2,-0.2836111111110995
723235-13896,34.744,-87.6,13,0.5089444444444382
723418-13977,33.454,-94.007,39,1.065666666666644
726785-24135,45.965,-112.501,4,-0.5415555555555613
724457-03938,37.75,-92.15,18,0.2110038314176279
724220-93820,38.041,-84.606,13,0.14266666666662786
722270-13864,33.917,-84.517,34,0.4921111111111003
722190-13874,33.63,-84.442,13,0.35305555555554236
726776-24036,47.049,-109.458,44,-0.15500000000001535
725830-24128,40.902,-117.808,13,-0.09483141762451908
725945-24283,40.978,-124.109,13,-0.2519444444444616
727670-94014,48.174,-103.637,13,-0.8449195402298955
992160-99999,42.5,-130.3,4,0.08522222222221387
722675-23021,33.6,-102.05,23,0.2618459643804698
725335-99999,40.65,-86.15,31,0.4208888888888822
725825-24121,40.829,-115.789,9,-0.019114942528716483
723658-23090,36.744,-108.229,9,0.9105670498084208
702650-99999,64.65,-147.067,31,1.7516659003831307
725946-24286,41.78,-124.237,9,-0.6416666666666586
722688-93034,32.693,-103.213,37,1.2054137931034745
722020-12839,25.791,-80.316,13,0.6043888888888631
726416-14921,43.212,-90.181,7,0.6534259259259301
722506-12959,26.184,-98.254,13,1.0198095238095135
723273-99999,36.0,-86.517,16,-2.050884510125897
724860-23154,39.295,-114.847,13,0.7347260536398608
727840-99999,46.567,-119.6,1,-0.0015072463768035504
723555-99999,34.3,-97.017,31,-0.8757777777777562
999999-93107,32.867,-117.133,11,1.7379012345679286
723346-03811,35.593,-88.917,13,-0.6609999999999872
724040-13721,38.3,-76.417,41,1.9365555555555574
722570-03933,31.133,-97.717,20,1.7015854700854618
724560-13996,39.073,-95.626,13,0.4965000000000259
702000-26617,64.511,-165.44,43,1.9879942528735626
722235-13838,30.626,-88.068,24,-0.5555741652982675
725305-99999,41.908,-88.249,3,0.03713333333331548
725156-14748,42.159,-76.892,9,-0.4891984126983857
724620-23061,37.439,-105.861,13,1.653526819923357
726350-94860,42.883,-85.524,13,0.11238888888891552
723270-13897,36.119,-86.689,35,0.44005555555553144
